City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Tautira,PF,-17.7333,-149.15,82.38,82,53,16.55,moderate rain
301,Almaznyy,RU,48.0448,40.045,51.58,69,100,20.0,overcast clouds
302,Rawson,AR,-43.3002,-65.1023,91.44,18,42,12.55,scattered clouds
303,Mar Del Plata,AR,-38.0023,-57.5575,77.83,95,75,10.36,broken clouds
304,Neiafu,TO,-18.65,-173.9833,83.08,78,75,9.22,light rain
305,Ormara,PK,25.2088,64.6357,75.67,68,100,8.68,overcast clouds
306,Padang,ID,-0.9492,100.3543,73.45,87,98,3.4,overcast clouds
307,Conde,BR,-7.2597,-34.9075,81.86,74,20,10.36,few clouds
308,Hambantota,LK,6.1241,81.1185,79.14,94,40,6.91,scattered clouds
309,Tezu,IN,27.9167,96.1667,67.08,33,2,4.68,clear sky
310,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.19,96,60,2.82,broken clouds
311,Mayo,US,38.8876,-76.5119,46.15,57,100,12.66,overcast clouds
312,Nanortalik,GL,60.1432,-45.2371,27.73,79,26,1.41,scattered clouds
313,Boundiali,CI,9.5217,-6.4869,82.45,44,99,6.2,overcast clouds
314,Cintalapa,MX,16.6951,-93.7272,87.49,44,19,11.21,few clouds
315,Lucapa,AO,-8.4192,20.7447,65.91,99,100,3.98,moderate rain
316,Warri,NG,5.5167,5.75,76.1,86,100,3.15,overcast clouds
317,Gat,IL,31.61,34.7642,63.39,37,90,2.46,overcast clouds
318,Sorland,NO,67.667,12.6934,31.86,48,66,12.75,light snow
319,Mezen,RU,65.8522,44.24,18.0,95,99,8.05,overcast clouds
320,Pirgos,GR,35.1167,25.7178,61.63,82,96,12.5,overcast clouds
321,Ternate,ID,0.8,127.4,78.76,79,73,5.17,broken clouds
322,Gayeri,BF,12.6497,0.4931,89.64,12,92,8.19,overcast clouds
323,Chirongui,YT,-12.9319,45.1483,78.73,71,100,7.09,overcast clouds
324,Sturgeon Falls,CA,46.3646,-79.9326,27.05,79,100,8.46,overcast clouds
325,Antofagasta,CL,-23.65,-70.4,72.68,77,5,6.44,clear sky
326,Pevek,RU,69.7008,170.3133,-17.9,96,43,10.69,scattered clouds
327,Iralaya,HN,15.0,-83.2333,79.61,59,14,10.45,few clouds
328,Seoul,KR,37.5683,126.9778,51.4,82,75,5.75,mist
329,Chimoio,MZ,-19.1164,33.4833,71.46,94,75,8.46,broken clouds
330,Koungheul,SN,13.9833,-14.8,88.45,7,0,4.99,clear sky
331,Vestmannaeyjar,IS,63.4427,-20.2734,18.54,50,59,11.34,broken clouds
332,Chulumani,BO,-16.4096,-67.5263,69.91,94,99,1.68,overcast clouds
333,Pangkalanbuun,ID,-2.6833,111.6167,73.06,99,100,2.93,moderate rain
334,Berbera,SO,10.4396,45.0143,78.39,87,21,9.26,few clouds
335,Ambulu,ID,-8.345,113.6058,73.69,93,77,3.53,broken clouds
